Timestamp,Address,AddressType,RSSI
2024-04-11T14:04:31.428,dc:23:4f:a9:9a:46,0,-77
2024-04-11T14:04:31.440,dc:23:4f:a9:9a:46,0,-73
2024-04-11T14:04:33.451,dc:23:4f:a9:9a:46,0,-66
2024-04-11T14:04:34.452,dc:23:4f:a9:9a:46,0,-79
2024-04-11T14:04:35.461,dc:23:4f:a9:9a:46,0,-66
2024-04-11T14:04:36.462,dc:23:4f:a9:9a:46,0,-82
2024-04-11T14:04:37.474,dc:23:4f:a9:9a:46,0,-65
2024-04-11T14:04:38.479,dc:23:4f:a9:9a:46,0,-81
2024-04-11T14:04:38.503,dc:23:4f:a9:9a:46,0,-77
2024-04-11T14:04:39.486,dc:23:4f:a9:9a:46,0,-65
2024-04-11T14:04:40.492,dc:23:4f:a9:9a:46,0,-76
2024-04-11T14:04:42.501,dc:23:4f:a9:9a:46,0,-77
2024-04-11T14:04:43.507,dc:23:4f:a9:9a:46,0,-66
2024-04-11T14:04:44.505,dc:23:4f:a9:9a:46,0,-80
2024-04-11T14:04:45.514,dc:23:4f:a9:9a:46,0,-64
2024-04-11T14:04:46.517,dc:23:4f:a9:9a:46,0,-81
2024-04-11T14:04:47.522,dc:23:4f:a9:9a:46,0,-63
2024-04-11T14:04:48.524,dc:23:4f:a9:9a:46,0,-81
2024-04-11T14:04:49.532,dc:23:4f:a9:9a:46,0,-64
2024-04-11T14:04:50.538,dc:23:4f:a9:9a:46,0,-79
2024-04-11T14:04:51.542,dc:23:4f:a9:9a:46,0,-65
2024-04-11T14:04:52.548,dc:23:4f:a9:9a:46,0,-78
2024-04-11T14:04:53.555,dc:23:4f:a9:9a:46,0,-65
2024-04-11T14:04:54.554,dc:23:4f:a9:9a:46,0,-77
2024-04-11T14:04:55.556,dc:23:4f:a9:9a:46,0,-75
2024-04-11T14:04:57.561,dc:23:4f:a9:9a:46,0,-75
2024-04-11T14:04:58.569,dc:23:4f:a9:9a:46,0,-66
2024-04-11T14:04:59.576,dc:23:4f:a9:9a:46,0,-75
2024-04-11T14:05:16.194,dc:23:4f:a9:9a:46,0,-75
2024-04-11T14:05:18.209,dc:23:4f:a9:9a:46,0,-75
2024-04-11T14:05:19.211,dc:23:4f:a9:9a:46,0,-68
2024-04-11T14:05:20.214,dc:23:4f:a9:9a:46,0,-73
2024-04-11T14:05:21.221,dc:23:4f:a9:9a:46,0,-76
2024-04-11T14:05:22.226,dc:23:4f:a9:9a:46,0,-82
2024-04-11T14:05:24.227,dc:23:4f:a9:9a:46,0,-81
2024-04-11T14:05:25.233,dc:23:4f:a9:9a:46,0,-65
2024-04-11T14:05:26.232,dc:23:4f:a9:9a:46,0,-73
2024-04-11T14:05:27.240,dc:23:4f:a9:9a:46,0,-60
2024-04-11T14:05:28.247,dc:23:4f:a9:9a:46,0,-73
2024-04-11T14:05:29.256,dc:23:4f:a9:9a:46,0,-76
2024-04-11T14:05:30.254,dc:23:4f:a9:9a:46,0,-76
