2024-04-10T16:04:27.123000,54:41:5d:81:18:35,1,-64
2024-04-10T16:04:27.408000,54:41:5d:81:18:35,1,-63
2024-04-10T16:04:27.692000,54:41:5d:81:18:35,1,-63
2024-04-10T16:04:27.984000,54:41:5d:81:18:35,1,-54
2024-04-10T16:04:28.266000,54:41:5d:81:18:35,1,-64
2024-04-10T16:04:28.553000,54:41:5d:81:18:35,1,-54
2024-04-10T16:04:28.834000,54:41:5d:81:18:35,1,-64
2024-04-10T16:04:29.117000,54:41:5d:81:18:35,1,-63
2024-04-10T16:04:29.403000,54:41:5d:81:18:35,1,-64
2024-04-10T16:04:29.689000,54:41:5d:81:18:35,1,-63
2024-04-10T16:04:30.264000,54:41:5d:81:18:35,1,-53
2024-04-10T16:04:30.552000,54:41:5d:81:18:35,1,-63
2024-04-10T16:04:30.834000,54:41:5d:81:18:35,1,-53
2024-04-10T16:04:31.116000,54:41:5d:81:18:35,1,-65
2024-04-10T16:04:31.402000,54:41:5d:81:18:35,1,-54
2024-04-10T16:04:31.683000,54:41:5d:81:18:35,1,-63
2024-04-10T16:04:31.976000,54:41:5d:81:18:35,1,-54
2024-04-10T16:04:32.259000,54:41:5d:81:18:35,1,-65
2024-04-10T16:04:32.547000,54:41:5d:81:18:35,1,-53
2024-04-10T16:04:32.829000,54:41:5d:81:18:35,1,-65
2024-04-10T16:04:33.115000,54:41:5d:81:18:35,1,-54
2024-04-10T16:04:33.405000,54:41:5d:81:18:35,1,-71
2024-04-10T16:04:33.693000,54:41:5d:81:18:35,1,-60
2024-04-10T16:04:33.982000,54:41:5d:81:18:35,1,-55
2024-04-10T16:04:34.266000,54:41:5d:81:18:35,1,-61
2024-04-10T16:04:34.548000,54:41:5d:81:18:35,1,-77
2024-04-10T16:04:35.122000,54:41:5d:81:18:35,1,-53
2024-04-10T16:04:35.690000,54:41:5d:81:18:35,1,-75
2024-04-10T16:04:36.260000,54:41:5d:81:18:35,1,-74
2024-04-10T16:04:36.548000,54:41:5d:81:18:35,1,-60
2024-04-10T16:04:36.836000,54:41:5d:81:18:35,1,-54
2024-04-10T16:04:37.122000,54:41:5d:81:18:35,1,-76
